Category,Method,Swift Wrapper Needed,Complexity,Priority,Phase,Phase Name,Effort (Days),Estimated Tests
Events,onIntensityChange,Yes,Medium,P1,7,Event System,0.5,2
Events,onFrameChange,Yes,Medium,P1,7,Event System,0.5,2
Events,onAzimuthElevationChange,Yes,Medium,P1,7,Event System,0.5,2
Events,onClipPlaneChange,Yes,Medium,P1,7,Event System,0.5,2
Events,onClickToSegment,Yes,Medium,P1,7,Event System,0.5,2
Events,onMouseUp,Yes,Medium,P2,6,Advanced,0.5,2
Events,onDragRelease,Yes,Medium,P2,6,Advanced,0.5,2
Events,onVolumeAddedFromUrl,Yes,Medium,P1,7,Event System,0.5,2
Events,onMeshAddedFromUrl,Yes,Medium,P2,6,Advanced,0.5,2
Events,onVolumeWithUrlRemoved,Yes,Low,P1,7,Event System,0.25,1
Events,onMeshWithUrlRemoved,Yes,Low,P2,6,Advanced,0.25,1
Events,onVolumeUpdated,Yes,Low,P1,7,Event System,0.25,1
Events,onColormapChange,Yes,Low,P1,7,Event System,0.25,1
Events,onDocumentLoaded,Yes,Medium,P2,6,Advanced,0.5,2
Events,onOptsChange,Yes,High,P2,6,Advanced,1,3
Events,onZoom3DChange,Yes,Medium,P1,7,Event System,0.5,2
Events,onMeshShaderChanged,Yes,Low,P2,6,Advanced,0.25,1
Events,onMeshPropertyChanged,Yes,Medium,P2,6,Advanced,0.5,2
Events,onError,Yes,Medium,P1,7,Event System,0.5,2
Events,onInfo,Yes,Low,P2,6,Advanced,0.25,1
Events,onWarn,Yes,Low,P2,6,Advanced,0.25,1
Events,onDebug,Yes,Low,P2,6,Advanced,0.25,1
Coordinates,mm2frac,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,frac2mm,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,vox2frac,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,frac2vox,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,canvasPos2frac,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,frac2canvasPos,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,screenXY2mm,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,screenXY2TextureFrac,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,sph2cartDeg,No (Internal),Low,N/A,N/A,N/A,0,0
Coordinates,head2mm,No (Internal),Low,N/A,N/A,N/A,0,0
Coordinates,getMMfromSlice,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Coordinates,getSliceFromMM,Yes,Low,P1,4,Navigation & Measurement,0.25,1
Configuration,crosshairColor,Yes,Low,P1,7,Event System,0.25,1
Configuration,crosshairWidth,Yes,Low,P1,7,Event System,0.25,1
Configuration,show3Dcrosshair,Yes,Low,P1,7,Event System,0.25,1
Configuration,backColor,Yes,Low,P1,7,Event System,0.25,1
Configuration,isColorbar,Yes,Low,P0,2,Completed,0,0
Configuration,isRuler,Yes,Low,P1,7,Event System,0.25,1
Configuration,isRadiologicalConvention,Yes,Low,P0,2,Completed,0,0
Configuration,isNearestInterpolation,Yes,Low,P0,2,Completed,0,0
Configuration,textHeight,Yes,Low,P2,6,Advanced,0.25,1
Configuration,multiplanarLayout,Yes,Low,P1,7,Event System,0.25,1
Configuration,showRender,Yes,Low,P1,7,Event System,0.25,1
Configuration,isSliceBlackBackground,Yes,Low,P2,6,Advanced,0.25,1
Configuration,isOrientationCube,Yes,Low,P0,2,Completed,0,0
Configuration,isCornerMarkers,Yes,Low,P0,2,Completed,0,0
Configuration,isGradientEditable,Yes,Low,P2,6,Advanced,0.25,1
Configuration,isAdditiveBlend,Yes,Low,P1,7,Event System,0.25,1
Configuration,showColorbar,Yes,Low,P0,2,Completed,0,0
